Guess,qatar,quant,quark,quasi,query,queue,quilt,quota,quote
quads,20100,22200,22200,22201,22000,22000,22000,22100,22000
quins,20000,22020,22000,22101,22000,22000,22200,22000,22000
qatar,22222,21100,21001,21000,20001,20000,20100,21100,20100
quant,20101,22222,22200,22200,22000,22000,22002,22101,22001
quark,20110,22200,22222,22200,22020,22000,22000,22100,22000
quasi,20100,22200,22200,22222,22000,22000,22001,22100,22000
query,20010,22000,22020,22000,22222,22200,22000,22000,22100
queue,20000,22000,22000,22000,22200,22222,22000,22000,22002
quilt,20001,22002,22000,22100,22000,22000,22222,22001,22001
quota,20011,22011,22001,22001,22000,22000,22010,22222,22220
quote,20010,22010,22000,22000,22001,22002,22010,22220,22222
